imdb_id,title,views_computed,actual_views,error,abs_error,pct_error,abs_pct_error
tt13918776,The Night Agent,2812677,127500000.0,-124687323.0,124687323.0,-97.79397882352941,97.79397882352941
tt23872886,Zero Day,2701098,126300000.0,-123598902.0,123598902.0,-97.86136342042755,97.86136342042755
tt35406274,Ms. Rachel,1640785,125500000.0,-123859215.0,123859215.0,-98.6926015936255,98.6926015936255
tt35406274,Ms. Rachel,1640785,125500000.0,-123859215.0,123859215.0,-98.6926015936255,98.6926015936255
tt13603966,Heart of Stone,1125827,125000000.0,-123874173.0,123874173.0,-99.09933840000001,99.09933840000001
tt2709692,The Grinch,1171210,120400000.0,-119228790.0,119228790.0,-99.0272342192691,99.0272342192691
tt2172954,The Life List,886340,120200000.0,-119313660.0,119313660.0,-99.26261231281198,99.26261231281198
tt16277242,Society of the Snow,1587301,119700000.0,-118112699.0,118112699.0,-98.67393400167084,98.67393400167084
tt1312221,Dr. Frankenstein,1022402,117600000.0,-116577598.0,116577598.0,-99.13061054421769,99.13061054421769
tt3083016,Beverly Hills Cop: Axel Foley,802638,117000000.0,-116197362.0,116197362.0,-99.31398461538463,99.31398461538463
tt33473000,Sean Combs: The Reckoning,1991748,113800000.0,-111808252.0,111808252.0,-98.2497820738137,98.2497820738137
tt14123284,Havoc,1056774,109600000.0,-108543226.0,108543226.0,-99.0357901459854,99.0357901459854
tt31019484,Missing You,2749421,106600000.0,-103850579.0,103850579.0,-97.42080581613509,97.42080581613509
tt3469046,Despicable Me 3,1122828,104200000.0,-103077172.0,103077172.0,-98.92242994241842,98.92242994241842
tt37600136,"Bon Appétit, Your Majesty",2748205,101900000.0,-99151795.0,99151795.0,-97.30303729146222,97.30303729146222
tt13274016,Reptile,1234488,99900000.0,-98665512.0,98665512.0,-98.76427627627628,98.76427627627628
tt30217403,Dandadan,2639600,99800000.0,-97160400.0,97160400.0,-97.35511022044088,97.35511022044088
tt30217403,Dandadan,2639600,99800000.0,-97160400.0,97160400.0,-97.35511022044088,97.35511022044088
tt30217403,Dandadan,2233508,99800000.0,-97566492.0,97566492.0,-97.76201603206412,97.76201603206412
tt13833978,The Lincoln Lawyer,2405192,97300000.0,-94894808.0,94894808.0,-97.52806577595067,97.52806577595067
tt13833978,The Lincoln Lawyer,2842500,97300000.0,-94457500.0,94457500.0,-97.07862281603289,97.07862281603289
tt13833978,The Lincoln Lawyer,2405192,97300000.0,-94894808.0,94894808.0,-97.52806577595067,97.52806577595067
tt13833978,The Lincoln Lawyer,2186538,97300000.0,-95113462.0,95113462.0,-97.75278725590955,97.75278725590955
tt31260386,Beauty in Black,2559421,95700000.0,-93140579.0,93140579.0,-97.325578892372,97.325578892372
tt31260386,Beauty in Black,2165664,95700000.0,-93534336.0,93534336.0,-97.73702821316614,97.73702821316614
tt31260386,Beauty in Black,2559421,95700000.0,-93140579.0,93140579.0,-97.325578892372,97.325578892372
tt31630905,Mike Tyson vs. Jake Paul,863859,95000000.0,-94136141.0,94136141.0,-99.0906747368421,99.0906747368421
tt30317229,La Palma,2254012,93200000.0,-90945988.0,90945988.0,-97.58153218884121,97.58153218884121
tt17069148,Sakamoto Days,1646372,90500000.0,-88853628.0,88853628.0,-98.1808044198895,98.1808044198895
tt17069148,Sakamoto Days,2396882,90500000.0,-88103118.0,88103118.0,-97.35151160220995,97.35151160220995
tt7221388,Cobra Kai,2335080,90200000.0,-87864920.0,87864920.0,-97.41121951219512,97.41121951219512
tt7221388,Cobra Kai,1868064,90200000.0,-88331936.0,88331936.0,-97.9289756097561,97.9289756097561
tt7221388,Cobra Kai,2568588,90200000.0,-87631412.0,87631412.0,-97.15234146341464,97.15234146341464
tt7221388,Cobra Kai,1868064,90200000.0,-88331936.0,88331936.0,-97.9289756097561,97.9289756097561
tt7221388,Cobra Kai,3035605,90200000.0,-87164395.0,87164395.0,-96.63458425720621,96.63458425720621
tt7221388,Cobra Kai,1868064,90200000.0,-88331936.0,88331936.0,-97.9289756097561,97.9289756097561
tt11514868,The Perfect Couple,2093836,87700000.0,-85606164.0,85606164.0,-97.61250171037629,97.61250171037629
tt11514868,The Perfect Couple,2474533,87700000.0,-85225467.0,85225467.0,-97.17841163055873,97.17841163055873
tt13210838,The Gentlemen,2718922,87300000.0,-84581078.0,84581078.0,-96.88554180985108,96.88554180985108
tt13210838,The Gentlemen,2300626,87300000.0,-84999374.0,84999374.0,-97.36468957617411,97.36468957617411
tt9077530,Virgin River,2850596,87000000.0,-84149404.0,84149404.0,-96.72345287356322,96.72345287356322
tt9077530,Virgin River,2850596,87000000.0,-84149404.0,84149404.0,-96.72345287356322,96.72345287356322
tt9077530,Virgin River,1754213,87000000.0,-85245787.0,85245787.0,-97.9836632183908,97.9836632183908
tt9077530,Virgin River,2192766,87000000.0,-84807234.0,84807234.0,-97.47957931034483,97.47957931034483
tt9077530,Virgin River,2412043,87000000.0,-84587957.0,84587957.0,-97.22753678160919,97.22753678160919
tt9077530,Virgin River,2412043,87000000.0,-84587957.0,84587957.0,-97.22753678160919,97.22753678160919
tt9077530,Virgin River,2192766,87000000.0,-84807234.0,84807234.0,-97.47957931034483,97.47957931034483
tt9077530,Virgin River,1754213,87000000.0,-85245787.0,85245787.0,-97.9836632183908,97.9836632183908
tt16288804,Berlin,2220835,86700000.0,-84479165.0,84479165.0,-97.4384832756632,97.4384832756632
tt16288804,Berlin,2220835,86700000.0,-84479165.0,84479165.0,-97.4384832756632,97.4384832756632
tt35047134,Man vs Baby,2610257,86500000.0,-83889743.0,83889743.0,-96.98236184971098,96.98236184971098
tt11274492,The Out-Laws,1162714,85400000.0,-84237286.0,84237286.0,-98.6385081967213,98.6385081967213
tt13649112,Baby Reindeer,2377276,85400000.0,-83022724.0,83022724.0,-97.21630444964872,97.21630444964872
tt2293640,Minions,1013226,85100000.0,-84086774.0,84086774.0,-98.80937015276146,98.80937015276146
tt11737520,One Piece,2470835,84600000.0,-82129165.0,82129165.0,-97.07939125295508,97.07939125295508
tt11737520,One Piece,2920078,84600000.0,-81679922.0,81679922.0,-96.54837115839243,96.54837115839243
tt11737520,One Piece,2470835,84600000.0,-82129165.0,82129165.0,-97.07939125295508,97.07939125295508
tt2531336,Lupin,2162555,83400000.0,-81237445.0,81237445.0,-97.40700839328538,97.40700839328538
tt2531336,Lupin,2378810,83400000.0,-81021190.0,81021190.0,-97.14770983213428,97.14770983213428
tt2531336,Lupin,2162555,83400000.0,-81237445.0,81237445.0,-97.40700839328538,97.40700839328538
tt2531336,Lupin,2378810,83400000.0,-81021190.0,81021190.0,-97.14770983213428,97.14770983213428
tt15837600,Griselda,1972566,82800000.0,-80827434.0,80827434.0,-97.61767391304348,97.61767391304348
tt30826447,The Four Seasons,2303194,82500000.0,-80196806.0,80196806.0,-97.2082496969697,97.2082496969697
tt30826447,The Four Seasons,2303194,82500000.0,-80196806.0,80196806.0,-97.2082496969697,97.2082496969697
tt9018736,Avatar: The Last Airbender,2219058,82400000.0,-80180942.0,80180942.0,-97.30696844660194,97.30696844660194
